Autor, Herausgeber oder Institution;Abstract;Jahr ermittelt;Titel;Zeitschrift/Zeitung;Dokumententyp
Selgert, Felix;This paper is based on the difference between the formal introduction of a Weberian bureaucracy and its actual implementation through state officials. This difference between the formal institutional framework and its actual implementation could lead to failed reforms. On the other side, there were states which successfully introduced a Weberian bureaucracy like the German state of Baden in the nineteenth century. This paper argues that Civil Service reforms in Baden during the first two decades of the nineteenth century established an internal labor market with a hierarchy of pay levels and clearly defined rules of promotion. These rules of promotion made advancement in the hierarchy, and therefore, an increase in remuneration, inter alia dependent on the performance in regard to administrative processes and rules of professional conduct. This rule generated an incentive to implement the new formal institutional framework, because sticking to the rules led to a monetary reward. The paper tests this hypothesis empirically using a logit as well as a panel regression approach. In doing so, I find that a positive assessment about a district magistrate’s (Amtmann) performance in regard to formal administrative processes and rules of professional conduct increased his probability of promotion by 81 %. The paper also finds incentive mechanisms like a shirking wage. However, it seems that the sound working of these incentive mechanisms took ca. two decades.;2014;Performance, pay and promotion: implementing a Weberian bureaucracy in nineteenth century Baden;Cliometrica;Zeitschriftenaufsatz
"Shibamoto, Masahiko; SHIZUME, MASATO";A veteran finance minister, Takahashi Korekiyo, brought an early recovery for Japan from the Great Depression of the 1930s by prescribing a combination of expansionary fiscal, exchange rate, and monetary policies. To explore the comprehensive transmission mechanism of Takahashi's macroeconomic policy package, including the expectation channel, we construct a structural vector auto-regression (S-VAR) model with three state variables (output, price, and the inflation expectations) and three policy variables (fiscal balance, exchange rate, and money stock). Our analysis reveals that the exchange rate adjustment undertaken as an independent policy tool had the strongest effect, and that changes in people's expectations played a significant role for escaping from the Great Depression. During the second half of 1931, in particular, speculation on Japan's departure from the gold standard and the inflation that was likely to follow reversed the existing expectations: instead of expecting deflation, people began to expect inflation, months ahead of the actual departure from the gold standard. As a whole, the choice of the level of the exchange rate was crucial for changing people's expectations as well as promoting exports.;2014;Exchange rate adjustment, monetary policy and fiscal stimulus in Japan's escape from the Great Depression;Explorations in Economic History;Zeitschriftenaufsatz
Sng, Tuan-Hwee;This paper argues that China's size was one reason behind its relative decline in the nineteenth century. A ruler governing a large country faces severe agency problems. Given his monitoring difficulties, his agents have strong incentives to extort the taxpayers. This forces him to keep taxes low to prevent revolts. Economic expansion could aggravate corruption and cause further fiscal weakening. To support the model's predictions, I show that the Chinese state taxed and administered sparingly, especially in regions far from Beijing. Furthermore, its fiscal capacity contracted steadily during the prosperous eighteenth century, sowing the seeds for the nineteenth-century crises.;2014;Size and dynastic decline: The principal-agent problem in late imperial China, 1700–1850;Explorations in Economic History;Zeitschriftenaufsatz
Squatriti, Paolo;Since its publication in 1974, Andrew Watson's article “The Arab Agricultural Revolution and Its Diffusion, 700–1100,” has been used and cited widely by historians and archaeologists, many working in fields far removed from Watson's. This essay explores the nature of Watson's impact and attempts to explain it.;2014;Of Seeds, Seasons, and Seas: Andrew Watson's Medieval Agrarian Revolution Forty Years Later;The Journal of Economic History;Zeitschriftenaufsatz
"Stanfors, Maria; Leuning, Timothy; Eriksson, Björn; Karlsson, Tobias";Women have typically been paid less than men throughout history. We investigate earnings in Swedish cigar making around 1900. Strength was unimportant, yet the gender wage gap was large. Differences in characteristics, such as age and experience, and different jobs within firms, account for two-thirds of the gap overall, and the entire gap for piece-rate workers. Firms were as willing to employ women as men in the better-paying piece-rate section, and women were willing to take those jobs. In contrast, discrimination was extensive in the time-rate section. Men in this section benefited from greater outside opportunities and customary wages elsewhere. Theory holds that labour market discrimination will reduce profitability, and make firm survival harder, a proposition that has never been tested historically. We find that cigar firms that feminized their workforces most extensively were most likely to survive. Product market competition prevented firms employing (overpaid) men to any great extent. We argue that economic historians must interpret industry-specific gender wage differentials in the context of workers' outside opportunities, and in the context of product markets, which can?and in this case did?limit firms' room for manoeuvre.;2014;Gender, productivity, and the nature of work and pay: evidence from the late nineteenth-century tobacco industry;The Economic History Review;Zeitschriftenaufsatz
Stone, David;Climatic change is currently viewed as one of the main causes of the so-called crisis of the early fourteenth century. It is well established that England saw increased storminess and heavy rainfall in this period, but this article suggests that the impact of drought?which became a common feature of the English climate during the 1320s and early 1330s?has been overlooked. Based primarily on a detailed analysis of account rolls for over 60 of the best-documented manors in this period, the article establishes that drought brought devastating harvest failure and caused severe outbreaks of a number of diseases, plausibly including enteric infections, malaria, and winter and spring fevers. As a result, mortality surged and population levels fell in communities in affected regions, which were mainly confined to the southern and eastern counties of England. The article concludes that such regional variation significantly affects our understanding of demographic, agricultural, and even fiscal trends in this period. Although we should not disregard the human factors influencing the impact of environmental shocks, England was plainly struck with indubitable force by extreme weather in this pivotal phase of the medieval economy.;2014;The impact of drought in early fourteenth-century England;The Economic History Review;Zeitschriftenaufsatz
Talbott, Siobhan;This article explores Irish migration, settlement, and commerce in the Atlantic coast ports of France in the period between the Glorious Revolution of 1688?9 and the Jacobite uprising of 1715. Drawing on extensive archival material and using current methodologies, this study suggests that the composition of society was vital in the development of international associations. This is particularly pertinent in a period characterized by warfare, religious fervour, and the rise of Jacobitism. Common allegiance to Catholicism and support for the Stuart dynasty in both Ireland and France provided a framework conducive to international cooperation, but the Irish who settled in France held both Catholic and Reformed beliefs, and were not necessarily products of the Jacobite movement. Migration and integration, and commercial practices and successes, were not determined solely by religious or political affiliation, but were influenced by the composition of society and the support and acceptance received by immigrants and traders therein. Through an analysis of the Franco-Irish case study, it is concluded here that the social context of mercantile activity was just as responsible as the political or religious climate in governing the development of international commercial relationships in this period.;2014;‘Such unjustificable practices’?: Irish trade, settlement, and society in France, 1688–1715;The Economic History Review;Zeitschriftenaufsatz
TANG, JOHN P.;Railroads in late nineteenth-century Japan are credited with facilitating factor mobility as well as access to human and financial capital, but their impact on firms has been unclear. Using a prefecture-level panel data set and a difference-in-differences model that exploits the temporal and spatial variation of railroad expansion, I investigate the relationship between railways and increased firm activity. Rail access led to higher average firm capitalization, particularly in manufacturing, and more populated and less accessible areas gained disproportionately more firms. By widening markets and allowing for agglomeration economies, Japanese railways promoted capital investment and more efficient resource allocation.;2014;Railroad Expansion and Industrialization: Evidence from Meiji Japan;The Journal of Economic History;Zeitschriftenaufsatz
"Thomasson, Melissa A.; Fishback, Price V.";We use 20th-century data to examine how community economic conditions at the time of birth influenced various measures of socioeconomic success as adults. Our analysis focuses on the worst downturn ever experienced in the United States: the Great Depression. We merge individual information reported by respondents in the U.S. Censuses of 1970 and 1980 with information on state per capita income during the individual's year of birth in their state of birth. Results indicate that the effect of state income per capita in the birth year on income and disability later in life varies with changes in income levels. Individuals born in the trough of the Depression in low-income states had substantially lower incomes and higher work disability rates later in life than workers born in those states in the peak year of 1929. However, the effect of being born during the trough of the Depression in states with higher incomes during the first half of the 20th century was much weaker on income and disability later in life.;2014;Hard times in the land of plenty: The effect on income and disability later in life for people born during the great depression;Explorations in Economic History;Zeitschriftenaufsatz
Tomlinson, Jim;In Britain in the 1970s inflation rose to historically unprecedented peace-time levels, and became the central issue of economic policy-making. We know a great deal about the elite policy debates on the significance of this inflation, and the arguments about how to reduce it, but we know far less about how inflation was understood by the population at large, and how those understandings were shaped. This article explores the evidence on popular understanding, especially analysing the material gathered by the Counter-Inflation Publicity Unit, created in the summer of 1975. Along with other evidence, this material is used to explore how far the Labour government's economic propaganda can be said to have influenced popular opinion on both the significance and causes of inflation. The evidence supports the argument that the belief that trade unions were the main culprit for inflation was reinforced and entrenched by this propaganda, with important unintended consequences for the arguments about policy that followed the ?Winter of Discontent? of 1978/9.;2014;British government and popular understanding of inflation in the mid-1970s;The Economic History Review;Zeitschriftenaufsatz
"van Bochove, C.; van Velzen, T.";Payday loans allow salaried workers to solve cash flow problems resulting from unexpected expenses or income drops. Lenders limit moral hazard risks by rationing loan sizes and terms, but with fixed costs this results in high APRs. How can wages provide more security and facilitate more favorable conditions? This paper considers the case of the Dutch East India Company (1602–1794) whose employees borrowed larger sums, for longer terms, and lower APRs. It shows how restricting employees' discretionary behavior helped solve moral hazard problems and how financial intermediaries enabled the large-scale use of loans.;2014;Loans to salaried employees: the case of the Dutch East India Company, 1602-1794;European Review of Economic History;Zeitschriftenaufsatz
van Bochove, Christiaan;"External borrowing constituted an important part of sovereign finances in early modern Europe. As payments could not be enforced through third parties, sovereigns had to convince lenders of their commitment to service their loans. Although the literature has dealt with this problem extensively, little is known about what supported lending in early modern Europe. This article therefore asks whether and how commitment mechanisms identified in the sovereign borrowing literature made external borrowing safer in early modern Europe. It attempts to answer this question by analysing the loans that a small and peripheral state (Denmark) issued in Europe's foremost international investment hub (eighteenth-century Holland). Primary sources demonstrate that Denmark inspired confidence in investors and serviced its loans well; a new dataset with securities prices reveals yields to maturity in accordance with this. Economic spillovers (domestic economic damage) and reputation (loss of access to external loans) are identified as the mechanisms that kept the Danish sovereigns committed to honouring their debts. The Danish case shows, however, that these commitment mechanisms could only be adopted after the growth and integration of northern Europe's economies. This suggests that commitment mechanisms are not as universally applicable as the literature often seems to claim.";2014;External debt and commitment mechanisms: Danish borrowing in Holland, 1763–1825;The Economic History Review;Zeitschriftenaufsatz
"van LOTTUM, JELLE; van Zanden, Jan Luiten";"Pre-modern growth was to a large extent dependent on processes of commercialization and specialization, based on cheap transport. Seminal interpretations of the process of economic growth before the Industrial Revolution have pointed to the strategic importance of the rise of the Atlantic economy and the growth of cities linked to this, but have not really explained why Europeans were so efficient in organizing large international networks of shipping and trade. Most studies concerning early modern shipping have focused on changes in ship design (capital investments) in explaining long-term performance of European shipping in the pre-1800 period; in this paper we argue that this is only part of the explanation. Human capital – the quality of the labour force employed on ships – mattered as well. We firstly demonstrate that levels of human capital on board European ships were relatively high, and secondly that there were powerful links between the level of labour productivity in shipping and the quality of the workforce. This suggests strongly that shipping was a ‘high tech’ industry not only employing high quality capital goods, but also, as a complementary input, high quality labour, which was required to operate the increasingly complex ships and their equipment.";2014;Labour productivity and human capital in the European maritime sector of the eighteenth century;Explorations in Economic History;Zeitschriftenaufsatz
"van Nederveen Meerkerk, Elise; Teeuwen, D.";This article aims to compare the financing of two apparently entirely different systems of pre-industrial welfare: urban institutional welfare in the federal Dutch Republic and the national Elizabethan Poor Law in Britain. By analysing a new dataset on the income and expenditure of five Dutch towns, we conclude that, despite the absence of uniform legislation, Dutch poor relief was viable at least up until the 1790s, even in times of severe crises and declining real wages. This was obtained by the – in monetary terms – remarkably stable donations by Dutch citizens, mostly through regular collections, as well as careful financial management of the charitable funds.;2014;The stability of voluntarism: financing social care in early modern Dutch towns compared with the English Poor Law, c. 1600-1800;European Review of Economic History;Zeitschriftenaufsatz
"Vickers, Chris; Ziebarth, Nicolas L.";We use plant-level data from the Census of Manufactures to study collusion in the United States macaroni industry during the Great Depression. The National Industrial Recovery Act was passed in 1933 to promote recovery through industry coordination of economic activity. While there is no change in the price-cost margin after the law is passed, a variety of markers of anti-competitive conduct suggest that collusion indeed increased. Prices became less responsive to changes in cost, the dispersion of prices decreased, and the persistence in prices increased.;2014;Did the National Industrial Recovery Act Foster Collusion? Evidence from the Macaroni Industry;The Journal of Economic History;Zeitschriftenaufsatz
Vinnal, H.;A sample of merchant letters is used to measure the speed and reliability of information transmission at the end of the preindustrial era. Some previous informal studies suggested no improvements in information transmission in this period. The present study confirms this opinion. Considering technological capabilities, the communication between the major North and Baltic Sea region commercial centers was already relatively fast and remarkably regular in the 1750s and did not improve until the 1820s. The speed and reliability of transmission was limited on maritime postal routes, and by an inability to integrate the smaller trading centers into the national postal service network.;2014;The world refuses to shrink: the speed and reliability of information transmission in North and Baltic Sea region, 1750-1825;European Review of Economic History;Zeitschriftenaufsatz
Wanamaker, Marianne H.;Theories of the demographic transition often center on the rising price of children. A model of fertility derived from household production in the antebellum United States contains both own children and slaves as inputs. Changes in slaveholdings beget changes in the marginal product of the slaveowners’ own children and, hence, their price. I use panel data on slaveowning households between 1850 and 1870 to measure the slaveowners’ own fertility responses to exogenous changes in slaveholdings. Results indicate a strong, negative correlation between own child prices and fertility.;2014;Fertility and the Price of Children: Evidence from Slavery and Slave Emancipation;The Journal of Economic History;Zeitschriftenaufsatz
Zegarra, Luis Felipe;This article examines the impact of legal and economic factors on the growth of commercial banking in Latin America in the 19th and early 20th centuries. Using annual data for five countries for the period 1840–1920, this article shows that growth in exports had a significant effect on the growth of bank liabilities (deposits plus note issues). For the most part, changes in banking laws did not have a significant effect on the development of banking. This latter result likely reflects heterogeneity in the meaning of changes, as well as the potential dominance of de facto political factors in shaping the importance of de jure legal changes.;2014;Bank laws, economic growth and early banking in Latin America: 1840–1920;Explorations in Economic History;Zeitschriftenaufsatz
"ACHESON, GRAEME G.; CAMPBELL, GARETH; Turner, John D.; Vanteeva, Nadia";Using ownership and control data for 890 firm-years, this article examines the concentration of capital and voting rights in British companies in the second half of the nineteenth century. We find that both capital and voting rights were diffuse by modern-day standards. However, this does not necessarily mean that there was a modern-style separation of ownership from control in Victorian Britain. One major implication of our findings is that diffuse ownership was present in the UK much earlier than previously thought, and given that it occurred in an era with weak shareholder protection law, it somewhat undermines the influential law and finance hypothesis. We also find that diffuse ownership is correlated with large boards, a London head office, non-linear voting rights, and shares traded on multiple markets.;2015;Corporate ownership and control in Victorian Britain;The Economic History Review;Zeitschriftenaufsatz
ALFANI, GUIDO;This article provides a picture of economic inequality in northwestern Italy (Piedmont), 1300–1800. Regional studies of this kind are rare, and none has as long a timescale. The new data proposed illuminate little-known aspects of wealth distribution and general economic inequality in preindustrial times, supporting the idea that during the Early Modern period, inequality grew everywhere, independently from whether the economy was growing or stagnating. This challenges earlier views that explained inequality growth as the consequence of economic development. The importance of demographic processes is underlined, and the impact of the Black Death and other mortality crises is analyzed.;2015;Economic Inequality in Northwestern Italy: A Long-Term View (Fourteenth to Eighteenth Centuries);The Journal of Economic History;Zeitschriftenaufsatz
Allen, Robert C.;This article responds to Humphries's critique of Allen's assessment of the high wage economy of eighteenth-century Britain and its importance for explaining the industrial revolution. New evidence is presented to show that women and children participated in the high wage economy. It is also shown that the high wage economy provides a good explanation of why the industrial revolution happened in the eighteenth century by showing that increases of women's wages around 1700 greatly increased the profitability of using spinning machinery. The relationship between the high wage economy of the eighteenth century and the inequality and poverty in Britain in the nineteenth century is explored.;2015;The high wage economy and the industrial revolution: a restatement;The Economic History Review;Zeitschriftenaufsatz
"Andersson, Fredrik N. G.; Ljungberg, Jonas";This article explores the development of market integration within the Baltic Sea region and with England, from the 1840s to the late 1880s. It exploits two new datasets on grain prices. The degree of market integration is estimated using a wavelet variant of dynamic factor analysis that takes account of both time and distance. Additionally, we use the London corn market as the benchmark for the degree of market integration. Our results show that the role of distance disappeared in the wheat and rye, but not in the oats and barley trade, as the Baltic Sea Region became integrated into the Atlantic economy.;2015;Grain Market Integration in the Baltic Sea Region in the Nineteenth Century;The Journal of Economic History;Zeitschriftenaufsatz
"Andersson, Lars Fredrik; Eriksson, Liselotte";We employ cost-of-living surveys, business archives, and firm data to examine the impact of the compulsory pension on the demand for life insurance in Sweden from 1884 to 1914?a period that covers the implementation of the first public compulsory old-age pension reform and the take-off of industry life insurance. As predicted on the basis of the contemporary literature on crowding-out effects, we find that the compulsory pension reduced the demand for life insurance. Our panel-data analysis of lapse rates on insurance policies shows a significant crowding-out effect of pension payments. We conclude that the introduction of the general compulsory pension had a crowding-out effect on households? holdings of insurance policies.;2015;The compulsory public pension and the demand for life insurance: the case of Sweden, 1884–1914;The Economic History Review;Zeitschriftenaufsatz
"Annaert, Jan; BUELENS, FRANS; Deloof, Marc";We investigate monthly returns of Belgian stocks listed on the Brussels stock exchange in the period 1838–2010. Our dataset is based on official quotation lists of the stock exchange, and it takes into account all common stocks that were ever listed on the stock exchange during the period considered. This allows us to investigate the performance of the market as a whole in a consistent way over the nineteenth and twentieth centuries. We find that stock returns strongly depend on dividend income. While real capital appreciation tends to be negative, the dividend yield is remarkably stable over time. Stocks were less risky in the nineteenth century than in the twentieth century. While the equity premium is overall positive, the reward for equity risk is very volatile over time. Even in the long-run equity investors frequently earned a negative return. There are no consistent differences between returns on small stocks and large stocks.;2015;Long-run stock returns: evidence from Belgium 1838–2010;Cliometrica;Zeitschriftenaufsatz
Artunç, Cihan;In the eighteenth century, European embassies in the Ottoman Empire started selling exemption licenses called berats, which granted non-Muslim Ottomans tax exemptions and the option to use European law. I construct a novel price panel for British and French licenses based on primary sources. The evidence reveals that prices were significantly high and varied across countries. Agents acquired multiple berats to enhance their legal options, which they exploited through strategic court switching. By the early 1800s, berat holders had driven other groups from European-Ottoman trade.;2015;The Price of Legal Institutions: The Beratlı Merchants in the Eighteenth-Century Ottoman Empire;The Journal of Economic History;Zeitschriftenaufsatz
"Baffigi, Alberto; Bontempi, Maria Elena; FELICE, EMANUELE; Golinelli, Roberto";The article investigates the relationship between GDP and prices in Italy in the long-run, from the country's Unification (1861) up to present day. By using the new national accounts data, over the period 1861–2012, we were able to make Italy the third country to have a historical test of the hybrid Phillips curve (in which both the new Keynesian and the backward-looking Phillips curves are tested), together with the UK and the US. How do economic growth and prices interact in Italy's different stages of economic growth? Unlike the US and the UK, where said interaction was already operating in mid-19th century, in Italy the link between inflation and the economic cycle emerged only after the First World War. We argue that this can be explained owing to Italy's different position in the international economic system and the way foreign conditioning factors (the exchange-rate regime and innovation in transportation) influenced the Italian industrialization. Before the First World War, deflation was imported. This turned out to be compatible with some GDP growth, insofar as the deflationist macroeconomic setting favoured capital inflows and technological upgrading. Whereas, from the First World War until the creation of a common European currency, price variations were mainly a consequence of national policies and domestic conditions: the trade-off with the GDP cycle is now manifest, both in the periods of deflation (the interwar years) and in those of inflation (the second half of the twentieth century). Our findings may also have important implications for present day, since price movements are once again, as in the liberal age, largely imported.;2015;The changing relationship between inflation and the economic cycle in Italy: 1861–2012;Explorations in Economic History;Zeitschriftenaufsatz
Baker, Richard B.;I examine how production of a child labor–intensive crop (cotton) affected schooling in the early twentieth-century American South. Because cotton production may be endogenous, presence of an agricultural pest (the boll weevil) is employed as an instrument. Using newly collected county-level data for Georgia, I find a 10 percent reduction in cotton caused a 2 percent increase in black enrollment rate, but had little effect on white enrollment. The shift away from cotton following the boll weevil's arrival explains 30 percent of the narrowing of the racial differential in enrollment rates between 1914 and 1929.;2015;From the Field to the Classroom: The Boll Weevil's Impact on Education in Rural Georgia;The Journal of Economic History;Zeitschriftenaufsatz
"BASSINO, JEAN-PASCAL; Lagoarde-Segot, Thomas";This article relies on a unique dataset of daily price indices for stocks and bonds to analyse the functioning of the Tokyo Stock Exchange (TSE) in the period 1931?40. We find that this market deviated from weak-form efficiency, in a context of cross-market segmentation, short-run spillovers, and turmoil surrounding major events. In this context, zaibatsu insiders were able to make abnormal returns via informed trading, while other uninformed investors could rely on technical rules to make abnormal profits. Such findings call for a micro-level analysis of the interwar TSE corporate financing function.;2015;Informational efficiency in the Tokyo Stock Exchange, 1931–40;The Economic History Review;Zeitschriftenaufsatz
"Baten, Jörg; Fourie, Johan";The lack of accurate measures of human capital formation often constrains investigations into the long-run determinants of growth and comparative economic development, especially in the developing world. Using the reported ages of criminals in the Court of Justice records in the Cape Archives, this article documents for the first time numeracy levels and trends for inhabitants of the Cape Colony born between the late seventeenth and early nineteenth century: the native Khoesan, European settlers, and imported slaves from other African regions and Asia. This variety of origins allows us to compare contemporaneous levels of early modern development across three continents. By isolating those slaves born at the Cape, we also provide a glimpse into the dynamics of human capital transfer in a colonial setting. The Colony's relatively high level of human capital overall had implications for what was later to be the richest country on African soil, but the very unequal attainment of numeracy also foreshadowed extreme income inequality.;2015;Numeracy of Africans, Asians, and Europeans during the early modern period: new evidence from Cape Colony court registers;The Economic History Review;Zeitschriftenaufsatz
Bean, Jessica S.;"Most prior work on historical female labour supply has been confined to looking at the female labour force participation decision. This article uses the detailed information on weekly hours of work and wages contained in the New Survey of London Life and Labour (NSLLL) (1928?32) to provide the first estimation of both the participation and the hours-of-work decisions for female workers prior to the Second World War. The main finding is that the labour supply curve was negatively sloped?women worked longer hours at lower wages. It is also possible to compare the determinants of the labour force participation decision and the hours of work decision among females in the NSLLL. It appears that the labour force participation decision was more strongly related to household income level than to own wages, while the hours of work decision among working women was more strongly related to the wage level than to household income. Finally, the article also examines the differential labour market behaviour of married women, female household heads, and young single women; most striking among these results is the evident added-worker effect on married women of the onset of the Great Depression in 1930.";2015;‘To help keep the home going’: female labour supply in interwar London;The Economic History Review;Zeitschriftenaufsatz
"Beddow, Jason M.; Pardey, Philip G.";U.S corn output increased from 1.8 billion bushels in 1879 to 12.7 billion bushels in 2007. Concurrently, the footprint of production changed substantially. Failure to take proper account of movements means that productivity assessments likely misattribute sources of growth and climate change studies likely overestimate impacts. Our new spatial output indexes show that 16 to 21 percent of the increase in U.S. corn output over the 128 years beginning in 1879 was attributable to spatial movement in production. This long-run perspective provides historical precedent for how much agriculture might adjust to future changes in climate and technology.;2015;Moving Matters: The Effect of Location on Crop Production;The Journal of Economic History;Zeitschriftenaufsatz
Beltrán Tapia, Francisco J.;Biological living standards stagnated or even declined during the transition to modern economic growth. Although income per capita was increasing, other indicators, such as mortality rates or heights, portrayed a completely different image. This paper adds to the standard of living debate by analysing the potential effect of the privatisation of common lands. Although highly controversial regarding its impact on the modernisation process itself, its contribution to human welfare has somewhat received much less attention. Focusing on the Spanish experience, this paper exploits geographical variation over time by collecting a panel data set at the provincial level on three different periods: 1860, 1900 and 1930. The empirical analysis shows that the persistence of these collective resources is related with higher life expectancy and heights, particularly during the second half of the nineteenth century. Biological human welfare also seems to have been negatively influenced by the progressively decreasing role that local communities played on the management of these resources. The survival of common lands in some regions provided peasants with mechanisms different from the market, thus making the transition to a market economy more socially sustainable.;2015;Commons and the standard of living debate in Spain, 1860–1930;Cliometrica;Zeitschriftenaufsatz
Bengtsson, Erik;An influential interpretation of the strong growth performance in Western Europe in the 1950s and 1960s stresses the importance of wage restraint, trade unions holding back wages to increase investments. This article questions that interpretation, using a wage regression approach with eighty-five to ninety-six years of data on wages, inflation, unemployment, productivity, and other variables in Denmark, Norway, and Sweden, focusing on the post-1950 period. It is shown that wages in fact increased faster than productivity in Sweden in the 1950s and 1960s and in Denmark and Norway in the 1960s. On the other hand, especially Denmark and Sweden saw wage restraint in the 1980s and 1990s. Overall the results of the article support a power-oriented interpretation of wage bargaining rather than the conventional postwar wage restraint story. In explaining the differences between the countries, the article discusses economic structure, post–World War II situation, and trade union ideology.;2015;Wage restraint in Scandinavia: during the postwar period or the neoliberal age?;European Review of Economic History;Zeitschriftenaufsatz
"Bignon, V.; Esteves, Rui Pedro; Herranz-Loncán, Alfonso";Railways were one of the main engines of the Latin American trade boom before 1914. Railway construction often required financial support from local governments, which depended on their fiscal capacity. However, since the main government revenues were trade-related, this generated a two-way feedback between government revenues and railways, with a potential for multiple equilibria. The empirical tests in this article support the hypothesis of such a positive two-way relationship. The main implication of our analysis is that the build-up of state capacity was a necessary condition for railway expansion and also, to a large extent, for export expansion in Latin America during the first globalization.;2015;Big push or big grab? Railways, government activism, and export growth in Latin America, 1865–1913;The Economic History Review;Zeitschriftenaufsatz
Blakeway, Amy;This article contributes to the emerging belief among early modern economic historians that sixteenth-century inflation was primarily caused by monetary factors. The Scottish case study reveals a strong relationship between coinage debasement and rising prices, a contention strengthened by the fact that the Scottish experience of inflation was high in European terms, and, in particular, stands at a considerable distance from the English pattern. This study includes the first scholarly examination of prices during the 1540s, and reveals that substantial inflation first emerged during this hitherto neglected decade. Prices plateaued during the 1550s, and rose consistently from 1560 to 1585. Meanwhile real wages declined during the 1540s and from 1560 onwards. This article is methodologically innovative in constructing two baskets of commodities, designed to represent the elite experience, alongside a more traditional basket based on a working household. These reveal the divergent experiences of the price rise within Scotland: rising prices hit the poor harder than the rich due to the high cost of domestic agricultural goods in the subsistence basket and the deflationary impact of wages and luxury goods upon the overall elite basket.;2015;The sixteenth-century price rise: new evidence from Scotland, 1500–85;The Economic History Review;Zeitschriftenaufsatz
"Bordo, Michael D.; Redish, Angela; Rockoff, Hugh";The financial crisis of 2008 engulfed the banking system of the US and many large European countries. Canada was a notable exception. In this article we argue that the structure of financial systems is path-dependent. The relative stability of the Canadian banks in the recent crisis compared to the US in our view reflected the original institutional foundations laid in place in the early nineteenth century in the two countries. The Canadian concentrated banking system that had evolved by the end of the twentieth century had absorbed the key sources of systemic risk?the mortgage market and investment banking?and was tightly regulated by one overarching regulator. In contrast, the relatively weak, fragmented, and crisis-prone US banking system that had evolved since the early nineteenth century led to the rise of securities markets, investment banks, and money market mutual funds (the shadow banking system) combined with multiple competing regulatory authorities. The consequence was that the systemic risk that led to the crisis of 2007?8 was not contained.;2015;Why didn't Canada have a banking crisis in 2008 (or in 1930, or 1907, or …)?;The Economic History Review;Zeitschriftenaufsatz
"Braguinsky, Serguey; Hounshell, David A.";We revisit the story of technology adoption and diffusion in Japan's Meiji-era cotton spinning industry, the study of which was pioneered by Gary Saxonhouse (). Using a novel data set and modern methodology, we argue that both the ease with which the best technology diffused and the role of “slavish imitation” in this process may have been overstated. We find an important role played by market competition, including asset reallocation. Our analyses provide richer insights into the complex phenomena of technology diffusion, innovation, and economic growth.;2015;Spinning Tales about Japanese Cotton Spinning: Saxonhouse (1974) and Lessons from New Data;The Journal of Economic History;Zeitschriftenaufsatz
"Broadberry, Stephen N.; Custodis, Johann; Gupta, Bishnupriya";Estimates of Indian GDP are constructed from the output side for 1600–1871, and combined with population data. Indian per capita GDP declined steadily during the seventeenth and eighteenth centuries before stabilising during the nineteenth century. As British growth increased from the mid-seventeenth century, India fell increasingly behind. Whereas in 1600, Indian per capita GDP was over 60% of the British level, by 1871 it had fallen to less than 15%. These estimates place the origins of the Great Divergence firmly in the early modern period, but also suggest a relatively prosperous India at the height of the Mughal Empire. They also suggest a period of “strong” deindustrialisation during the first three decades of the nineteenth century, with a small decline of industrial output rather than just a declining share of industry in economic activity.;2015;India and the great divergence: An Anglo-Indian comparison of GDP per capita, 1600–1871;Explorations in Economic History;Zeitschriftenaufsatz
Brunt, Liam;"We estimate a time series model of weather shocks on English wheat yields for the early nineteenth century and use it to predict weather effects on yield levels from 1697 to 1871. This reveals that yields in the 1690s were depressed by unusually poor weather; and those in the late 1850s were inflated by unusually good weather. This has led researchers to overestimate the underlying growth of yields over the period by perhaps 50%. Correcting for this effect would largely reconcile the conflicting primal and dual estimates of productivity growth over the period.";2015;Weather shocks and English wheat yields, 1690–1871;Explorations in Economic History;Zeitschriftenaufsatz
"Brunt, Liam; Cannon, Edmund";Interpretation of historic grain price data may be hazardous owing to systematic grain quality variation — both cross sectionally and over varying time horizons (intra-year, inter-year, long run). We use the English wheat market, 1750–1914, as an example to quantify this issue. First, we show that bushel weight approximates grain quality. Then we show that cross sectional and intra-year variation are substantial and problematic, generating erroneous inference regarding market integration. Long run variation is significant, due to sharply declining international quality differentials, and this impacts estimated cost of living changes. By contrast, inter-year variation is smaller and controlled for more easily.;2015;Variations in the price and quality of English grain, 1750–1914: Quantitative evidence and empirical implications;Explorations in Economic History;Zeitschriftenaufsatz
Burnette, Joyce;This article tests for wage discrimination in US manufacturing during the nineteenth century and in 2002 by estimating the female-to-male productivity ratio and comparing it to the wage ratio. This method will not identify all forms of discrimination, but will determine whether women were paid wages commensurate with their productivity. There was no significant difference between the wage ratio and the productivity ratio in the nineteenth century, but in 1900 there is evidence of gender discrimination among white-collar workers. In 2002 the female-to-male productivity ratio was higher than in the nineteenth century, and the wage ratio was also higher, but the wage ratio was significantly lower than the productivity ratio, at least for workers older than thirty-five. The movement from the spot labor markets of the nineteenth century to the internal labor markets has allowed for the emergence of gender wage discrimination.;2015;The paradox of progress: the emergence of wage discrimination in US manufacturing;European Review of Economic History;Zeitschriftenaufsatz
